q,que,kb_ids,new_refer,actual_send_answer,qwl02-cleaned-base,qwl02-cleaned-base-gpt35,qwl02-cleaned-chat,qwl02-cleaned-chat-gpt35,qwl02-cleaneddoc3,qwl02-cleaneddoc3-gpt35,qwl02-cleaneddoc8,qwl02-cleaneddoc8-gpt35,qwl02-cleandoc8-base,qwl02-cleandoc8-base_gpt35,qwl02-cleandoc8-base-pip3,qwl02-cleandoc8-base-pip3_gpt35,yil02-cleandoc-base,yil02-cleandoc-Chat-34B,yil02-cleandoc-Chat-34B_gpt35,qwl02,qwl02_gpt35,qwl02-cleaneddoc8-32b-base,qwl02-cleaneddoc8-32b-base_gpt35,qwl02-cleaneddoc8-32b-base-new,qwl02-cleaneddoc13-32b-base,qwl02-cleaneddoc18-32b-base,qwl02-cleaneddoc18-32b-base-cp12000,qwl02-cleaneddoc18-32b-base-cp15000,qwl02-cleaneddoc18-32b-base-cp18000
一包肠依做多少肉,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""一包肠依做多少肉""}]","22, 23","['问题：""一包肠衣灌几斤肉啊"",答案：""亲,5斤一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。""','问题：""一袋肠衣能做几斤肉"",答案：""猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。""','问题：""100g肠衣能灌多少肉"",答案：""亲 不清楚哦""','问题：""一包猪肠子适合几斤肉？"",答案：""猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。""','问题：""这一包肠衣可以灌多少斤肉？"",答案：""猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。""']","猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。",亲，猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉；10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。,1,亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,"亲,5斤一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。",1,"亲，5斤一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。",1,亲，猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉；10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。,1,亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,"亲，一包肠衣口径10斤左右，口径3.8-4.0左右，灌大约8-10斤肉。根据个人手法，会有误差，因为有人灌的肉。
亲，猪肠衣五斤一包，1斤一包左右，会有灌8-10斤左右，灌大约8-10斤肉。
根据个人手法左右的选项拍的选项 我们灌法的紧，猪肠衣，猪肠衣口径1-2-5米左右，皮质比较厚8-10斤一包就可以灌，口径30斤肉",猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉；10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。,1,亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。,亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,"亲，5斤一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。",亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,"亲，5斤一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。","亲，5斤一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。"
"我刚才试了一下,只能买一件呀","[{""role"":""user"",""content"":""亲在吗""},{""role"":""user"",""content"":""一袋肠衣\n五香调料\n麻辣调料\n怎么下单""},{""role"":""assistant"",""content"":""亲,您可以直接在订单中分别选择一袋肠衣和五香调料、麻辣调料,然后一起下单哦。""},{""role"":""user"",""content"":""我刚才试了一下,只能买一件呀""}]","22, 23","['问题：""送个蒜香跟黑胡椒的调料可以吗？我买了个灌20斤的。可以吗我看你那个12块钱不是带两包调料,我这个能带几包？"",答案：""亲只能根据选项下单哦""','问题：""我刚拍下了这款不是一包一包的吗"",答案：""我们是两种包装 随机发的哦""','问题：""我买的好多种,不要工具能优惠吗家里有工具了"",答案：""亲,只能根据选项下单哈""','问题：""店家  我不是买了两份吗怎么就一份"",答案：""亲,这边帮您联系快递核重,您稍等""','问题：""以前在别家买的都没有"",答案：""咱们都是天然肠衣亲""']",分开拍下 拍完给您尽量一起发货,分开下单也可以哈,1,分开下单不行吗,1,分开拍下 拍完给您尽量一起发货,1,"亲,您可以分开拍哈",1,分开拍下 拍完给您尽量一起发货,1,分开拍下 拍完给您尽量一起发货,1,"亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦。祝您购物愉快！祝您购物愉快！祝您购物愉快！祝您购物愉快！
这边帮您？亲。您看下哈亲 这边给您申请2元可以吗。",分开拍下 拍完给您尽量一起发货,1,分开拍下 拍完给您尽量一起发货,1,分开拍下 拍完给您尽量一起发货,1,分开拍下亲,分开拍下 拍完给您尽量一起发货,分开拍下 拍完给您尽量一起发货,分开拍下哈,分开拍下 拍完给您尽量一起发货,分开拍下 拍完给您尽量一起发货
底下这个是可罐几斤,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""有什么区别""},{""role"":""assistant"",""content"":""亲,羊肠衣口径比较小皮质比较薄,口感比较脆,猪肠衣口径比较大,皮质比较厚,一般切片吃。""},{""role"":""user"",""content"":""底下这个是可罐几斤""}]","22, 23","['问题：""这个能罐几斤"",答案：""亲,这个8-10斤左右哦~""','问题：""4包这个罐多少斤的"",答案：""一包可以灌8-10斤左右 手法不同 也会有差异的哦""','问题：""你好一代可以罐几斤？"",答案：""猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。""','问题：""这种一包罐多少斤"",答案：""这个是五斤的""','问题：""一套的那个能罐几斤？"",答案：""有可以罐30斤肉的选项,有可以罐20斤肉的选项,有可以罐10斤肉的选项,一包包装好的。""']","猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。","有可以罐30斤肉的选项,有可以罐20斤肉的选项,有可以罐10斤肉的选项,一包包装好的。",0,"猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。",1,亲，这个8-10斤左右哦~,0,"亲,这个8-10斤左右哦~",0,"亲,这个8-10斤左右哦~",0,亲，这个8-10斤左右哦~,0,"亲，一罐300g哦。具体都是一样的，送，具体数量下单哈。具体上看下哈。根据个人手法，会有误差，因为可以下单就不送哦。
可以参考一下，因为有人的紧，您看可以申请退货退款，商品退回。亲。您看下哈。包邮退的。根据个人用孔的。
亲，建议您用付金额为准哈亲。您收到一下看下哈亲。根据个人问题的哈亲。您看下哈亲。您看下哈亲。您看下哈。您看下","亲,这个8-10斤左右哦~",0,亲，这款可以灌10斤左右哦。,0,亲，这个是五斤的哦~,0,亲，这个是五斤的哦~,亲，这个8-10斤左右哦~,亲，这个8-10斤左右哦~,灌5斤肉的肠衣,亲，这个8-10斤左右哦~,亲，这个8-10斤左右哦~
这一包大概能罐多少,"[{""role"":""user"",""content"":""我要猪肠衣 选哪种""},{""role"":""user"",""content"":""哪种是羊肠衣""},{""role"":""user"",""content"":""哦哦""},{""role"":""user"",""content"":""这种是猪肠衣""},{""role"":""user"",""content"":""这一包大概能罐多少""}]","22, 23","['问题：""一包能装多少"",答案：""亲,5斤一包可以灌4-5斤肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。""','问题：""这种一包罐多少斤"",答案：""这个是五斤的""','问题：""一包罐多少斤"",答案：""猪肠衣五斤一包4-5米左右,口径3.8-4.0左右,灌大约4斤肉 10斤一包8-10米左右,口径3.8-4.0左右,灌大约8-10斤肉。""','问题：""这一包是多少"",答案：""亲 一包有5斤 10斤的""','问题：""4包这个罐多少斤的"",答案：""一包可以灌8-10斤左右 手法不同 也会有差异的哦""']",5斤,亲，这一包是5斤，可以灌4-5斤肉哦。,1,亲，5斤一包可以灌4-5斤肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,亲，一包有5斤，10斤的哦。,1,亲，5斤一包可以灌4-5斤肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,亲，5斤一包可以灌4-5斤肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,亲，一包有5斤左右，10斤的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,亲，一罐300g哦。,亲，一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,1,猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。,0,亲 您收到几袋,0,"亲，5斤一包可以灌4-5斤肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。",亲，一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。,"亲，5斤一包可以灌4-5斤肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。",灌5斤肉的肠衣,"亲，5斤一包可以灌4-5斤肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。","亲，5斤一包可以灌4-5斤肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。"
"行那我再拍一份,正好有个朋友需要。添麻烦了哈。是漏斗,你不说我都不知道该叫啥[嘻嘻]我拍好了,麻烦备注一些多发个漏斗[抱拳]","[{""role"":""user"",""content"":""我说的是这个部分""},{""role"":""user"",""content"":""我没有和您理论这个事情,就是现在没有这个东西我也用不了,我就是想要不就再拍一份,能不能给我带一个这个。""},{""role"":""assistant"",""content"":""漏斗是吗""},{""role"":""user"",""content"":""行那我再拍一份,正好有个朋友需要。添麻烦了哈。""},{""role"":""user"",""content"":""是漏斗,你不说我都不知道该叫啥[嘻嘻]""},{""role"":""user"",""content"":""行那我再拍一份,正好有个朋友需要。添麻烦了哈。是漏斗,你不说我都不知道该叫啥[嘻嘻]我拍好了,麻烦备注一些多发个漏斗[抱拳]""}]","22, 23","['问题：""你好,漏斗不是两个吗？怎么才发了一个"",答案：""亲,非常抱歉,我们这里漏斗分为两种,分别是A型和B型,本次只发了一个 对应您购买的商品""','问题：""我拍这个  工具衣漏斗  是带两个吗  一个猪衣漏斗一个羊漏斗人工客服我拍这个  工具衣漏斗  是带两个吗  一个猪衣漏斗一个羊漏斗看我这个选项在吗"",答案：""亲 工具是一个漏斗""','问题：""就一个粗头"",答案：""亲正常就一个漏斗哈""','问题：""一个漏斗也没有我是说看你们宣传里有两个,给我发时一个都没有"",答案：""这边核实下快递发出哈亲""','问题：""有其他东西那代替吗"",答案：""亲亲这个您可以找个别的东西或者胶带试试呢把漏斗连接就可以""']",已备注,亲，已备注,1,亲 需要您先确认收货哦,0,亲 具体的看仓库发货哦,0,已备注,1,已备注,1,已备注,1,"亲，可能是打包的时候挤压导致的，不影响食用的哦。
感谢您的添加一些哈亲。商品本身本身有破损的哈亲。商品本身有专人处理的哈亲。您看下哈亲。您看下哈。亲。您看下哈。给您补偿2元补偿可以吗。亲。质量有破损哈。
亲，不影响食用的哈。商品寄回哈。商品有专人处理的哈。您看下哈亲。您看下哈。商品寄回哈。商品寄回哈亲。
可以申请退货退款哈。您看下哈亲。",已备注,1,亲 需要拍下全套工具哦,1,已备注,1,已备注,已备注,已备注,已备注,已备注,已备注
有货吗？有货吗？,"[{""role"":""user"",""content"":""有货吗？有货吗？""}]","47, 18","['问题：""有货吗？有货吗？有货吗？"",答案：""亲亲,我们是有货的,下单后48小时内发出哈~""','问题：""有货吗？"",答案：""亲亲,我们是有货的""','问题：""有货吗？"",答案：""亲亲,我们是有货的,下单后48小时内发出哈""','问题：""有货吗？"",答案：""能下单就是有货的哈""','问题：""是不是没货？"",答案：""亲亲,我们是有货的""']",能下单就是有的哈,亲亲，我们是有货的，下单后48小时内发出哈~,1,亲亲，我们是有货的，下单后48小时内发出哈~,1,"亲亲,我们是有货的,下单后48小时内发出哈~",1,亲亲，我们是有货的，下单后48小时内发出哈~,1,亲亲，我们是有货的，下单后48小时内发出哈~,1,亲亲，我们是有货的，下单后48小时内发出哈~,1,好的亲。已备注哦~,亲亲，我们是有货的，下单后48小时内发出哈~,1,"亲亲,我们是有货的,下单后48小时内发出哈~",1,亲亲，我们是有货的，下单后48小时内发出哈~,1,亲亲，我们是有货的，下单后48小时内发出哈~,"亲亲,我们是有货的,下单后48小时内发出哈~","亲亲,我们是有货的,下单后48小时内发出哈~","亲亲,我们是有货的,下单后48小时内发出哈~","亲亲,我们是有货的,下单后48小时内发出哈~","亲亲,我们是有货的,下单后48小时内发出哈~"
已经付款了,"[{""role"":""user"",""content"":""有货吗？""},{""role"":""user"",""content"":""有货吗？""},{""role"":""assistant"",""content"":""能下单就是有的哈""},{""role"":""user"",""content"":""已经付款了""}]","47, 18","['问题：""付款了"",答案：""好的""','问题：""已经下单了"",答案：""好的亲""','问题：""已经下单了"",答案：""已备注亲""','问题：""已经签收了"",答案：""好的,您耐心等待退款专员处理就可以的""','问题：""我已经下单了"",答案：""看下亲""']",好的亲,亲，已经付款了，我们会尽快安排发货哦~,0,好的,1,好的亲,1,好的,1,好的,1,好的,1,"好的亲。已备注哈。您看下哈亲。您看下哈。您看下哈亲。您看下哈。您看下哈。亲。会尽快安排的哈。亲。谢谢您的支持哦。亲。我们会尽快安排发货的哈亲。
感谢您的支持发货的亲。我们会尽快安排发货的哈亲。感谢您的支持发货的哈亲。
感谢您的支持为您服务哈亲 尽快安排的哈。亲。我们会尽快安排发货的哈亲。感谢您的支持发货的哈亲。我们会尽快安排的哈亲。感谢您的支持发货的",好的,1,亲，付款后我们会尽快安排发货哦~,1,好的亲,1,好的,好的亲,亲，您的订单已经付款成功，我们会尽快安排发货哦~,好的,亲，能拍下就是有的哈,亲，您的订单已经付款成功，我们会尽快安排发货哦~
5桶能送杯和勺吗,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲,发中通、极兔、邮政快递,仓库会选择适合您地区的快递发出呢。""},{""role"":""user"",""content"":""出厂日期是啥时候的""},{""role"":""assistant"",""content"":""亲,我们的商品都是近期生产的,具体的生产日期可以在商品上查看哦~""},{""role"":""user"",""content"":""5桶能送杯和勺吗""}]","18, 8","['问题：""5斤送碗勺吗"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""','问题：""送杯和勺吗"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""','问题：""送一套杯和勺,我买5斤,可以吗"",答案：""亲,目前我们只能按照选项下单""','问题：""可以多送一个杯子和勺吗？我下两罐"",答案：""亲,目前我们只能按照选项下单,没有额外赠送杯子和勺子的服务哦。""','问题：""是桶装发货吗一桶送碗勺吗"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""']","看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,亲，看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,"亲,看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"亲,看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,亲，看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,"亲，一罐300g哦。具体以您的意思，下单后48小时内发出哦。
感谢您的意思呢亲。您看下哈亲。具体哈亲。下单48小时内发货的亲。具体看下哈亲。您看下哈。亲。具体看下哈亲。您看下哈亲。您看下哈亲。您看下哈亲。给您补偿2元补偿可以吗。亲。质量有专人处理的哈亲。您看下哈亲。",亲，5桶可以送杯和勺哦~,1,"亲,看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,亲，5桶不能送杯和勺哦。,"亲,看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦"
箱子没坏,"[{""role"":""user"",""content"":""坏了撒不少""},{""role"":""assistant"",""content"":""亲看下快递外包装破损了吗""},{""role"":""user"",""content"":""包装压坏了,露出撒了不少""},{""role"":""user"",""content"":""怎么给我处理,""},{""role"":""assistant"",""content"":""亲快递那个纸箱子破损了吗""},{""role"":""user"",""content"":""箱子没坏,""}]",18,"['问题：""好吧 箱子一点没坏 里面的都变形了"",答案：""亲 确认收货后与我们联系哦""','问题：""箱子没破,只是比较破,里边的罐子都扁了"",答案：""亲,可能是打包的时候挤压导致的,不影响食用的哦""','问题：""有一个箱子是3"",答案：""亲这边联系快递核重发出重量是没问题的呢""','问题：""箱子有破烂没拍"",答案：""亲 您拍下照片哦""','问题：""箱子里面放的。"",答案：""亲咱这边没有这个活动哦""']","亲,可能是打包的时候挤压导致的,不影响食用的哦",亲，可能是打包的时候挤压导致的，不影响食用的哦。,1,亲，可能是打包的时候挤压导致的，不影响食用的哦。,1,亲 实在是抱歉呢 这边给您申请2元的补偿可以吗,0,亲可能是打包的时候挤压导致的哈不影响食用的哦,1,"亲,可能是打包的时候挤压导致的,不影响食用的哦",1,"亲,可能是打包的时候挤压导致的,不影响食用的哦。",1,"亲，可能是机器搅拌的时候残留的，不影响食用的哦。
感谢您的添加一些哈亲。商品本身含有一定的糖的哈亲。商品寄回哈亲。商品寄回哈亲。
感谢您的添加色哈亲。商品本身含有一定的糖的哈亲。","亲,可能是打包的时候挤压导致的,不影响食用的哦",1,亲那可能是打包的时候挤压导致的哈不影响食用的哦,1,"亲,可能是打包的时候挤压导致的,不影响食用的哦",1,亲，可能是打包的时候挤压导致的，不影响食用的哦,"亲,可能是打包的时候挤压导致的,不影响食用的哦","亲,可能是打包的时候挤压导致的,不影响食用的哦","亲,可能是打包的时候挤压导致的,不影响食用的哦","亲,可能是打包的时候挤压导致的,不影响食用的哦","亲,可能是打包的时候挤压导致的,不影响食用的哦"
给我补偿五块给你好评。,"[{""role"":""user"",""content"":""怎么给我处理,""},{""role"":""assistant"",""content"":""亲快递那个纸箱子破损了吗""},{""role"":""user"",""content"":""箱子没坏,""},{""role"":""assistant"",""content"":""亲,可能是打包的时候挤压导致的,不影响食用的哦亲,很抱歉给您带来不好的体验,还请亲理解一下,您看为了给您有个好的购物体验,给您补偿2元可以吗。""},{""role"":""user"",""content"":""一代,坏的,""},{""role"":""user"",""content"":""给我补偿五块。我还给你好。""},{""role"":""user"",""content"":""傻到箱子里那不能吃了。脏了。""},{""role"":""assistant"",""content"":""抱歉亲这边权限只能2元呢""},{""role"":""user"",""content"":""给我补偿五块给你好评。""}]",18,"['问题：""那你就给我补偿一惯的钱吧办就五元吧"",答案：""抱歉申请不到""','问题：""我认倒霉了,你给补五块吧。"",答案：""没有这个权限亲""','问题：""那就申请5元补偿"",答案：""抱歉亲这边权限只能3元呢""','问题：""给我补偿十元"",答案：""可以的 亲""','问题：""补偿3元吧"",答案：""亲,可以的哦 确认收货后联系客服给您申请哈""']",实在抱歉亲这边权限只能2元呢,抱歉亲这边权限只能2元呢,1,抱歉亲这边权限只能2元呢,1,抱歉亲这边权限只能2元呢,1,抱歉亲 我们这边权限只能2元呢,0,抱歉亲我这边权限只能2元呢,0,抱歉亲这边权限只能2元呢,1,"好的亲。您拍下哦 这边帮您申请退款哈您看下哈亲。您申请退货退款哈亲。您看为了给您补偿补偿补偿可以吗。如果说看到有评价。
好的，您看为了给您申请2元可以吗。亲。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。亲。您看为了给您有个好的购物体验，给您补偿2元可以吗。亲。如果说看到有评价。
感谢您的支持指定哈亲 您申请退款","亲,很抱歉呢,客服权限只能2元呢",1,抱歉亲这边权限只能2元呢,1,抱歉呢亲我这边权限只能2元呢,1,抱歉亲这边权限只能2元呢,抱歉亲这边权限只能2元呢,"亲,很抱歉给您带来不好的体验,还请亲理解一下,您看为了给您有个好的购物体验,给您补偿2元可以吗。",亲我这边权限只能2元呢请您理解一下,亲我这边权限只能申请2元呢请您理解一下,"亲,很抱歉给您带来不好的体验,还请亲理解一下,您看为了给您有个好的购物体验,给您补偿2元可以吗。"
