q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
不够酸,"[{""role"":""user"",""content"":""不够酸""}]",亲 可以调整比例哦,,18,"['问题：""为啥那么酸呢"", 答案：""亲可以调整比例试下哦""', '问题：""这个为啥那么酸"", 答案：""亲 是酸奶哦""', '问题：""主要你家这个也太酸了。可不是一点酸"", 答案：""亲亲，每个人的口味不同""', '问题：""口感不好有味"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""那不酸吗我买其他家的都是甜的呢我想要酸一点的"", 答案：""亲亲，根据个人口味不同哈，有些买家反馈是甜的，有点反馈酸。""', '问题：""弄好了吃了一口不好吃，而且到现在嘴里都是酸的"", 答案：""🌹""', '问题：""味道不对"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""芒果一包，原味一包"", 答案：""亲 没有原味""']",,
我已拼单成功，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""}]",亲亲，下单48小时内发货哦~,,18,"['问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的👌"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""']",,
刚拼了一件，除了鸡蛋味其他的口味平均分,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""刚拼了一件，除了鸡蛋味其他的口味平均分""}]",亲下单以后联系我们备注哈,,18,"['问题：""除了鸡蛋味、其他都要可以吗"", 答案：""亲 一袋500g""', '问题：""牛奶味的只有一包，我煮了才看其他都是两包"", 答案：""两个包裹哈亲都收到了吗""', '问题：""鸡蛋味好吃吗？我第一次买你看看那个最受欢迎"", 答案：""亲 都是不错的哦""', '问题：""鸡蛋味，草莓味各一份。给我备注好。"", 答案：""亲，已备注哦~""', '问题：""四个味道是你推荐给我的第一次做这个，也不知道牛奶味怎么样"", 答案：""亲可以尝尝哦没打开的那包不想要的话也是可以退的哈""', '问题：""我刚刚下单的麻烦帮我发四种不同的口味"", 答案：""亲，把口味发给客服""', '问题：""鸡蛋味，牛奶，抹茶，草莓，我下单了，随意搭配这四种"", 答案：""已备注""', '问题：""鸡蛋和牛奶味备注一下吧，谢谢啦"", 答案：""亲 已备注""']",,
不然要备注干嘛我现在没指定,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""老板""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""可以发邮政吗""},{""role"":""assistant"",""content"":""没法指定哈""},{""role"":""user"",""content"":""你不会备注吗""},{""role"":""assistant"",""content"":""指定不了哈""},{""role"":""user"",""content"":""不然要备注干嘛""},{""role"":""user"",""content"":""不然要备注干嘛我现在没指定""}]",,亲这个我备注也没用的仓库不看这个,18,"['问题：""备注一下"", 答案：""什么口味""', '问题：""牛奶味，和芒果味"", 答案：""备注了亲""', '问题：""芒果+香芋各2斤"", 答案：""备注了亲""', '问题：""我要芒果跟草莓味的"", 答案：""备注了亲""', '问题：""在吗我刚刚拍了一单，买一送一，我要草莓味和牛奶味"", 答案：""备注了亲""', '问题：""要抹茶，香芋，草莓，芒果可以吗"", 答案：""备注了亲""', '问题：""我要芒果跟香芋味儿"", 答案：""备注了亲""', '问题：""[请确认消费者订单备注][请确认消费者订单备注]"", 答案：""备注了亲""']",,
加牛奶的话煮的时候就要加吗还是弄好了再加,"[{""role"":""user"",""content"":""我买的两斤要多少水""},{""role"":""assistant"",""content"":""亲 参考下哦""},{""role"":""user"",""content"":""谢谢""},{""role"":""assistant"",""content"":""亲，不客气哈""},{""role"":""user"",""content"":""加牛奶的话煮的时候就要加吗""},{""role"":""user"",""content"":""加牛奶的话煮的时候就要加吗还是弄好了再加""}]",,亲 可以参考下给您发的教程哦,18,"['问题：""牛奶要另外煮沸了才能加到里面吗"", 答案：""亲 按照教程哦""', '问题：""要放纯牛奶吗？"", 答案：""亲 可以用牛奶 也可以用水""', '问题：""牛奶跟水同时。还是水开。在加入牛奶水跟同时吗煮吗"", 答案：""亲 参考下哦""', '问题：""问一下这个水和牛奶是一起煮吗？还是水开了再放牛奶？"", 答案：""亲，这个水和牛奶是一起煮的哦""', '问题：""需要加奶吗"", 答案：""亲亲，这个商品不需要加牛奶哦，但是您可以根据自己的口味添加一些牛奶，味道会更好哦~""', '问题：""我加了水又加牛奶"", 答案：""建议调整比例试下哈图片步骤可以参考看下哈""', '问题：""那牛奶是要加一瓶吗？"", 答案：""按比例亲""', '问题：""那牛奶是要加一瓶吗？"", 答案：""你加了多少牛奶就得加多少粉""']",,
有年龄限定吗,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""下单48小时内发货亲""},{""role"":""user"",""content"":""有年龄限定吗""}]",亲，适合所有年龄段的人饮用哦~,亲，适合所有年龄段的人饮用哦~,"18,8","['问题：""备孕或者孕妇可以喝吗"", 答案：""亲，这个没有年龄限制哦~""', '问题：""那分年龄段不"", 答案：""亲，这个没有分年龄段哦""', '问题：""不会上午就发出去了吧？快递不是一般下午来取货吗？"", 答案：""时间段不固定""', '问题：""大概多大的没做过"", 答案：""亲这个没有特定的大小哦""', '问题：""您好！一大罐喝多长时间？一天喝几次"", 答案：""没有次数限制哈""', '问题：""几岁小孩都可以喝吗"", 答案：""能吃饭的一般就可以了哈""', '问题：""多大孩子都可以喝是吗？"", 答案：""能吃饭了一般就可以了哦""', '问题：""<运营问题>是否有季节性或地域限制？"", 答案：""无""', '问题：""比例多少"", 答案：""1:6的亲""', '问题：""能给个具体时间吗？"", 答案：""亲亲，具体的生产日期可以在您收到的商品上查看哦~""']",,
懂得你说的，我拆开那个怎么办？我也不能吃你现在又让我拿运费了，你不是包运费吗？我买的时候你说退货包运费吗？四袋呢，那得怎么收费呀？包运费我才买的来看了他说的一公斤是八块八，我我那是两公斤呢，我还得隔花花两公斤，我可不行，我买那点玩意才多少钱呀我你那玩意要是好吃的话，我能退吗？而且你说补运费呀，我买的时候你也没说论公斤收费呀，退你不说包运费吗？你要是那样说的话，不是骗人吗？包运费你就得包，我退货还让我自己花钱呀平台补贴，他说是八块八我明天退货，让我拿钱，我不拿，因为你那个也不好吃，要是好吃的话，我不可能退，而且你是包运费的他告诉我了，运费是零元。好了，我明天就退了，今天太晚了，退不回去，明天来取,"[{""role"":""user"",""content"":""懂得你说的，我拆开那个怎么办？我也不能吃你现在又让我拿运费了，你不是包运费吗？我买的时候你说退货包运费吗？四袋呢，那得怎么收费呀？包运费我才买的来看了他说的一公斤是八块八，我我那是两公斤呢，我还得隔花花两公斤，我可不行，我买那点玩意才多少钱呀我你那玩意要是好吃的话，我能退吗？而且你说补运费呀，我买的时候你也没说论公斤收费呀，退你不说包运费吗？你要是那样说的话，不是骗人吗？包运费你就得包，我退货还让我自己花钱呀平台补贴，他说是八块八我明天退货，让我拿钱，我不拿，因为你那个也不好吃，要是好吃的话，我不可能退，而且你是包运费的他告诉我了，运费是零元。好了，我明天就退了，今天太晚了，退不回去，明天来取""}]",亲 麻烦您先在订单上申请退货退款哦,,18,"['问题：""亲，咋天说好的今天退货哈，我买了三袋有一袋打开过了吃了一点就不退了。就退两袋行吗？因为太粗糙了，很难吃，平台已退出介入，您可继续聊天"", 答案：""亲，可以的，您只需要退回两袋就可以了，我们会处理好的。""', '问题：""我已经看了，申请售后已经过期了，你的货不好，要不得，我现在才开始吃，吃了有几天了？确实是不好吃，吃不得，所以才提出来给你退货，还有三袋，跟退回，你把钱给我退回来就算了，不必伤和气"", 答案：""亲可以自己申请一下哦我这边没法操作哦""', '问题：""我知道了太不好吃，我买过一次也是这个我昨天领回来，是跟我亲戚买她们说不好吃我也觉得不好吃，所以她们说要退货我也没办法谢谢你"", 答案：""亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，，退回几件就申请几件的价格，商品退回，有专人处理的哈。""', '问题：""一吃就不是好东西了反正你们是本着能卖出就行啊看看怎么处理吧我要要退货"", 答案：""亲 可以申请退货退款哦""', '问题：""那买贵了不只这个价发现你们在平台有点带笼子"", 答案：""亲，如果未拆封支持退货退款哈，商品价格都是根据市场价定的哈""', '问题：""消费者申请开启售后，请处理味道不怎么样，好腻不好喝"", 答案：""亲，如果口感不满意，可以在订单中申请退货退款哈。商品寄回就可以的亲。""', '问题：""你这根本就没写重量买的时候图片不是说500克么欺骗么平台已退出介入，您可继续聊天平台客服已处理本次售后"", 答案：""亲亲，一罐500g哈。""', '问题：""那这个不好吃，我也不想吃，怎么办呀？行，我把那四罐退了，怎么退呀？我还拿到公司去让快递帮我退了吧？怎么退呀？你们帮我联系那个物流公司吗？"", 答案：""你可以去代收点找快递寄回的""']",,
,"[{""role"":""user"",""content"":""糖尿病老人可以喝么？""},{""role"":""assistant"",""content"":""咨询医生哈亲""},{""role"":""user"",""content"":""无糖的么？""},{""role"":""assistant"",""content"":""亲亲，我们的商品都是无蔗糖的 只有商品本身富有的糖份的哦~""},{""role"":""user"",""content"":""成份配料表发过来""},{""role"":""assistant"",""content"":""亲亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""补钙么""},{""role"":""assistant"",""content"":""亲亲，黄瓜籽粉可以补钙哦。但是不能代替药物哈~""},{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,"18,8",,,
,"[{""role"":""user"",""content"":""不要找官方了吧。""},{""role"":""user"",""content"":""直接给退五元超出的运费""},{""role"":""user"",""content"":""你看那不有证据吗？你看了我付了五元。""},{""role"":""user"",""content"":""你真不讲信誉。""},{""role"":""user"",""content"":""太没信誉了。""},{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,18,,,
"商家你好！
购买的山药粉不满意退货。","[{""role"":""user"",""content"":""商家你好！\n购买的山药粉不满意退货。""}]",亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，有专人处理的哈。,亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，有专人处理的哈。,18,"['问题：""退款我不知道怎样退货我不满意这次购货原路返钱退微信上"", 答案：""申请退货退款哈商品寄回""', '问题：""我偿了味不同于三药粉，刚开动的留着，剩下的三罐需退货才是"", 答案：""亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，，退回几件就申请几件的价格，商品退回，有专人处理的哈。""', '问题：""你好你们发的山药粉，怎么没有山药味"", 答案：""亲亲，我们家的山药粉口感和味道都是很好的""', '问题：""买重了，吃完再买退货吧"", 答案：""亲申请一下退款联系我们拦截一下""', '问题：""如果买家不秤是不是，你们就挣多了挣花了"", 答案：""不满意可以退货退款哦""', '问题：""这个又整不了了，每回一说申请退款就退了，那这个又不会整了。"", 答案：""不满意可以申请退货退款""', '问题：""口感不好，不喜欢可以退货退款"", 答案：""您好，售后退换货需要商品包装完整，不影响二次销售哦~""', '问题：""如果扫不出可退吗？"", 答案：""不喜欢可以申请退货退款""']",,
