q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
算了你给我补2元吧。,"[{""role"":""user"",""content"":""也没找到玻璃勺子啊？""},{""role"":""user"",""content"":""怎么还回购了？""},{""role"":""user"",""content"":""我还真没注意，以为第一家买贵了，你家还有罐子装。就又买一份。原来是一家的""},{""role"":""user"",""content"":""那玻璃杯勺呢？""},{""role"":""user"",""content"":""没看到在哪有选项""},{""role"":""user"",""content"":""算了你给我补2元吧。""}]",好的亲，您确认收货后联系客服帮您处理哈,好的亲，您确认收货后联系客服帮您处理哈,18,"['问题：""算了，还是补2元钱吧，我不想麻烦了。"", 答案：""亲，确认收货以后联系我们帮您处理哈""', '问题：""全部都漏"", 答案：""给您补偿2元可以吗。""', '问题：""补两元就两元吧"", 答案：""亲撤销一下退款确认收货后联系我们""', '问题：""这一代都漏了"", 答案：""给您补2元可以吗""', '问题：""到底怎么处理，你已读不回什么意思啊"", 答案：""给您补2元可以吗亲""', '问题：""补偿一下吧闹心啊"", 答案：""这边给您补偿2元可以吗""', '问题：""可以怎么补2元？"", 答案：""亲，确认收货以后联系我们哈""', '问题：""补偿我的2元[嘻嘻]"", 答案：""确认下亲""']",,
客服已下单请尽快帮我发货,"[{""role"":""user"",""content"":""客服  您好，不小心碰到了，麻烦帮我退货处理一下。""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""有货吗？""},{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""亲亲，我们是有货的，下单后48小时内发出哈~""},{""role"":""user"",""content"":""客服已下单请尽快帮我发货""},{""role"":""user"",""content"":""客服已下单请尽快帮我发货""}]",,亲亲，下单48小时内发货哦~,"18,8","['问题：""已下单望尽快发货尽量快点发货好吗"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""尽量快点帮我发货吧"", 答案：""下单48小时内发货亲""', '问题：""给我快点发货"", 答案：""亲 麻烦您申请下退款哦""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？赶紧发货吧"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""']",,
客服已下单请尽快帮我发货,"[{""role"":""user"",""content"":""客服  您好，不小心碰到了，麻烦帮我退货处理一下。""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""有货吗？""},{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""亲亲，我们是有货的，下单后48小时内发出哈~""},{""role"":""user"",""content"":""客服已下单请尽快帮我发货""}]",亲亲，下单48小时内发货哦~,,18,"['问题：""已下单望尽快发货尽量快点发货好吗"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""尽量快点帮我发货吧"", 答案：""下单48小时内发货亲""', '问题：""给我快点发货"", 答案：""亲 麻烦您申请下退款哦""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？赶紧发货吧"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""']",,
就是没有封好口打的我纸箱里到处都是,"[{""role"":""user"",""content"":""我打开一看什么就破了一个洞没有封好""},{""role"":""user"",""content"":""这开了封还可以吃吗""},{""role"":""user"",""content"":""就是没有封好口打的我纸箱里到处都是""}]",亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。,亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。,18,"['问题：""东西包装烂了箱子里都有"", 答案：""太抱歉了亲，都是人工封口的，快递暴力相互挤压，还请亲理解一下，您看为了给您有个好的购物体验，给您小额打款2元可以吗。""', '问题：""一箱5袋都漏了箱子都是"", 答案：""亲 拍下5袋漏的地方""', '问题：""坏了包装 整的到处都是"", 答案：""亲看下破损了几包""', '问题：""洒了包装袋里面都是"", 答案：""可以申请2元""', '问题：""怎么没封口都散了"", 答案：""亲亲，都是人工封口的，快递暴力相互挤压，还请亲理解一下，您看为了给您有个好的购物体验，给您小额打款2元可以吗。""', '问题：""封口没封住"", 答案：""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""', '问题：""你们这个有一包封口没等好"", 答案：""亲 拍照看下哦""', '问题：""包装没有破是里面封口爆开的"", 答案：""亲亲，都是人工封口的，快递暴力相互挤压，还请亲理解一下，您看为了给您有个好的购物体验，给您小额打款2元可以吗。""']",,
没看到在哪有选项,"[{""role"":""user"",""content"":""我买的是瓶装的，还送玻璃勺的。怎么是袋装的？还撒了。""},{""role"":""user"",""content"":""也没找到玻璃勺子啊？""},{""role"":""user"",""content"":""怎么还回购了？""},{""role"":""user"",""content"":""我还真没注意，以为第一家买贵了，你家还有罐子装。就又买一份。原来是一家的""},{""role"":""user"",""content"":""那玻璃杯勺呢？""},{""role"":""user"",""content"":""没看到在哪有选项""}]",亲亲，您的订单中应该有退款的选项哦，如果没有的话可能是订单还没有确认收货，您可以先确认收货，然后联系客服帮您处理哈。,,18,"['问题：""撤回了你看看"", 答案：""这边显示没有""', '问题：""有袋装的吗，多少钱一斤"", 答案：""亲 看下选项哦""', '问题：""没有显示"", 答案：""亲亲您是不是找错店铺了""', '问题：""人工服务"", 答案：""亲 具体看下选项哦""', '问题：""找不到诶"", 答案：""亲 找到您的订单会有退款的选项哦""', '问题：""你不说送勺子吗？识别消费者反馈"", 答案：""亲 具体的看下选项哦""', '问题：""在哪里取消没找到"", 答案：""在您退款订单中亲""', '问题：""没看到啊"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""']",,
那玻璃杯勺呢？,"[{""role"":""user"",""content"":""我买的是瓶装的，还送玻璃勺的。怎么是袋装的？还撒了。""},{""role"":""user"",""content"":""也没找到玻璃勺子啊？""},{""role"":""user"",""content"":""怎么还回购了？""},{""role"":""user"",""content"":""我还真没注意，以为第一家买贵了，你家还有罐子装。就又买一份。原来是一家的""},{""role"":""user"",""content"":""那玻璃杯勺呢？""}]",亲亲，您的订单是无杯勺款哈,,18,"['问题：""咋没有玻璃杯勺呢？"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""不是说有一个玻璃碗和勺子吗"", 答案：""亲亲，您的订单是无杯勺款哈""', '问题：""有玻璃碗和小勺吗"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""那个杯子是玻璃的吗？"", 答案：""是的亲""', '问题：""我已评价，可是里面怎么没有玻璃杯和小勺呢？"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""碗勺是怎样的？"", 答案：""亲 我们这边没有实物 您可以参考下评论区哦""', '问题：""你那可没有杯勺啊？"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""我的勺子呢"", 答案：""亲看下是不是卡在箱子什么地方了""']",,
这开了封还可以吃吗,"[{""role"":""user"",""content"":""我打开一看什么就破了一个洞没有封好""},{""role"":""user"",""content"":""这开了封还可以吃吗""}]",亲亲，您放心食用吧。,,18,"['问题：""刚收到货。为何有一罐是开了封的？可以食吗？"", 答案：""亲，您放心食用吧。""', '问题：""开封了怎么办吃不了只能退了"", 答案：""未拆封的可以退""', '问题：""一包开封过了怎么办？"", 答案：""未拆封的可以退""', '问题：""这个不好吃你说开封了不能退"", 答案：""亲亲，每个人口感不一样的哈""', '问题：""密封肯定是坏了，不知道还能不能吃"", 答案：""亲 不会的哦""', '问题：""烂了那包还可以吃吗"", 答案：""亲 不影响您食用的哦""', '问题：""开过的粉  密封好  还能用吗"", 答案：""建议尽快使用亲，阴凉干燥处储存哈""', '问题：""不拆封怎么知道不能吃"", 答案：""拆封的退回 仓库拒收哦""']",,
我还真没注意，以为第一家买贵了，你家还有罐子装。就又买一份。原来是一家的,"[{""role"":""user"",""content"":""我买的是瓶装的，还送玻璃勺的。怎么是袋装的？还撒了。""},{""role"":""user"",""content"":""也没找到玻璃勺子啊？""},{""role"":""user"",""content"":""怎么还回购了？""},{""role"":""user"",""content"":""我还真没注意，以为第一家买贵了，你家还有罐子装。就又买一份。原来是一家的""}]",亲，我们是一家店铺哦,,18,"['问题：""我买了一袋原味一袋芝士的，可是你们发给我的是两包原味的[呆住][阴险]"", 答案：""亲 包装袋另一面的左上角有没有显示的口味""', '问题：""上次买那一家比你家多两块钱，人家又香又好吃，色泽好好看，粉粉的"", 答案：""亲咱这是没有添加剂的哈""', '问题：""好像是六袋，你们是换包装了吗？跟我上次买的不一样我现在拍给你的是上次买的那种"", 答案：""亲，我们近期更换了包装，但是质量还是一样的哦。""', '问题：""今早打开喝了，原来一直在喝，但是不是你家的产品，今早才打开你家的这个，你家的产品和别人家的不一样，"", 答案：""实在抱歉给您带来不好的体验，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""发错了是不是两罐19.7元还是一罐350克的"", 答案：""是的亲一罐350g""', '问题：""不知道你们的分量多不多你好我已经跟快递员拒收了实在不好意思 买错了 买了两家的"", 答案：""好的亲""', '问题：""我感觉你家这个是不是换包装了？我以前买的那是500克的，现在买的好小包"", 答案：""都是1斤一袋的亲""', '问题：""还有一包原味的已经用掉了，因为这是两个包裹吗？我先收的是两包原味的，然后今天收的是这两包原味加一个海盐的。"", 答案：""亲亲可能是仓库那边发错了您可以申请一下换货哈您看可以吗""']",,
发什么快递？发什么快递？,"[{""role"":""user"",""content"":""发什么快递？发什么快递？""}]",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,"18,8","['问题：""发什么快递？发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？发什么快递？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？"", 答案：""亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。不指定快递的亲~""', '问题：""发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发什么快递？"", 答案：""亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。不支持指定快递公司哦~""']",,
我打开一看什么就破了一个洞没有封好,"[{""role"":""user"",""content"":""我打开一看什么就破了一个洞没有封好""}]",亲 拍照看下哦,,18,"['问题：""拆开，拿到手粘粘的，一看有漏洞"", 答案：""这边给您申请2元的补偿可以吗""', '问题：""刚收到，打开看有破损"", 答案：""拍照我看下亲""', '问题：""包装没有破是里面封口爆开的"", 答案：""亲亲，都是人工封口的，快递暴力相互挤压，还请亲理解一下，您看为了给您有个好的购物体验，给您小额打款2元可以吗。""', '问题：""刚收到货，一打开怎么破损。"", 答案：""抱歉亲 可能快递比较暴力""', '问题：""那个我没注意，拆开就是这样我一看有点撒，看了下有个洞"", 答案：""亲，可能是打包的时候挤压导致的，不影响食用的哦""', '问题：""还没拆封，里面漏了"", 答案：""亲拆开看下里面是不是破损了哦""', '问题：""破了漏出来了"", 答案：""亲 其它是完好的吧""']",,
