,Unnamed: 0,q,que,refer_content,ai_answer,a,create_time,kb_ids,goods_name,order_status,refund_status
0,0,你好吧,"[{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""好吧""},{""role"":""assistant"",""content"":""好的亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""该怎么买？""},{""role"":""assistant"",""content"":""亲 直接拍就可以哦""},{""role"":""user"",""content"":""你好的""},{""role"":""assistant"",""content"":""好的亲""},{""role"":""user"",""content"":""你好吧""}]","['问题：""你好的"", 答案：""好的亲""', '问题：""好离谱啊！"", 答案：""你好""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好！"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好吧牛奶hi"", 答案：""亲，您好，有什么可以帮您的吗？""', '问题：""你你好吧你好你好的你好呢你好你还"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""402570424@qq.com"", 答案：""好的 亲""', '问题：""下单了"", 答案：""好的亲""', '问题：""哦，看到了"", 答案：""好的亲""']",亲，您好，有什么可以帮您的吗？,亲，您好，有什么可以帮您的吗？,2024-04-19 20:36:41,"12,18",小白帆布鞋2023年新款,待发货,退款成功
1,1,你好的,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""好吧""},{""role"":""assistant"",""content"":""好的亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""该怎么买？""},{""role"":""assistant"",""content"":""亲 直接拍就可以哦""},{""role"":""user"",""content"":""你好的""}]","['问题：""你好的"", 答案：""好的亲""', '问题：""好离谱啊！"", 答案：""你好""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好！"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""好的"", 答案：""好的亲🌹""']",好的亲,好的亲,2024-04-18 16:58:30,"12,18",小白帆布鞋2023年新款,待发货,退款成功
2,2,该怎么买？,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""好吧""},{""role"":""assistant"",""content"":""好的亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""该怎么买？""}]","['问题：""一次性买几种怎么买"", 答案：""直接下单就可以啦。""', '问题：""我还想买，怎么拍"", 答案：""直接下单呢，亲""', '问题：""<运营问题>该怎么下单？"", 答案：""按选项下单""', '问题：""怎么操作？"", 答案：""订单上申请就可以""', '问题：""怎么操作？"", 答案：""亲 找到您的订单申请退货退款 按要求操作就可以哦""', '问题：""怎么处理？"", 答案：""亲 这边核实发出正确亲 申请退货退款 修改金额""', '问题：""怎么用"", 答案：""冲泡即食哈亲""', '问题：""怎么吃？"", 答案：""亲。冲泡即食的""', '问题：""晕，不可能一个一个买吧"", 答案：""原味的比较受欢迎哦""', '问题：""这个怎么做"", 答案：""参考下""']",亲 直接拍就可以哦,亲 直接拍就可以哦,2024-04-18 16:52:00,"12,18",小白帆布鞋2023年新款,待发货,退款成功
3,3,你好呢,"[{""role"":""user"",""content"":""发你好""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""好吧""},{""role"":""assistant"",""content"":""好的亲""},{""role"":""user"",""content"":""你好呢""}]","['问题：""你好的"", 答案：""好的亲""', '问题：""好离谱啊！"", 答案：""你好""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好！"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""402570424@qq.com"", 答案：""好的 亲""', '问题：""下单了"", 答案：""好的亲""', '问题：""哦，看到了"", 答案：""好的亲""', '问题：""好的"", 答案：""好的亲🌹""']",亲，您好，有什么可以帮您的吗？,亲，您好，有什么可以帮您的吗？,2024-04-18 16:42:12,"12,18",小白帆布鞋2023年新款,待发货,退款成功
4,4,好吧,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""发你好""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""好吧""}]","['问题：""好吧"", 答案：""好的""', '问题：""好吧"", 答案：""亲，确认收货以后联系我们帮您处理哈""', '问题：""好吧"", 答案：""亲 确认收货后与我们联系""', '问题：""好吧"", 答案：""如果不行的话 按照给您发的比例再试下""', '问题：""好吧"", 答案：""您耐心等待下哈""', '问题：""好的"", 答案：""好的亲🌹""', '问题：""好的谢谢"", 答案：""好的""', '问题：""打发以后放置不会变稀了吧我要原味的一袋看看吧，一袋出多少啊"", 答案：""好的""']",好的亲,好的亲,2024-04-18 16:41:56,"12,18",小白帆布鞋2023年新款,待发货,退款成功
5,5,你好呢好的亲,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""发你好""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""你好呢好的亲""}]","['问题：""你好的"", 答案：""好的亲""', '问题：""你好你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你可以看我拍照评价"", 答案：""好呢亲""', '问题：""我又买了包装好点"", 答案：""好的 亲""', '问题：""已经下单了"", 答案：""好的亲""', '问题：""好"", 答案：""好的亲""', '问题：""402570424@qq.com"", 答案：""好的 亲""', '问题：""下单了"", 答案：""好的亲""', '问题：""己评价"", 答案：""好的亲""', '问题：""目前还是没有任何联系"", 答案：""好的 亲""']",嗯嗯,嗯嗯,2024-04-18 16:41:41,"12,18",小白帆布鞋2023年新款,待发货,退款成功
8,8,你好呢你好呢你好呢发你好,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""再见""},{""role"":""user"",""content"":""再见吧""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""在吗""},{""role"":""user"",""content"":""你好呢你好呢你好呢发你好""}]","['问题：""你你好吧你好你好的你好呢你好你还"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好的"", 答案：""好的亲""', '问题：""你好，"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好！"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好吧牛奶hi"", 答案：""亲，您好，有什么可以帮您的吗？""', '问题：""你好今天你可以发货吗？"", 答案：""下单48小时内发货亲""', '问题：""你发错了吧"", 答案：""亲 您拍的是原味的哦""', '问题：""今天能发吗今天可不可以发"", 答案：""亲亲，正常48小时内发货呢~""']",亲，您好，有什么可以帮您的吗？,亲，您好，有什么可以帮您的吗？,2024-04-18 16:33:19,"12,18",小白帆布鞋2023年新款,待发货,退款成功
9,9,你好呢你好呢,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""再见""},{""role"":""user"",""content"":""再见吧""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""在吗""},{""role"":""user"",""content"":""你好呢你好呢""}]","['问题：""你好你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好的"", 答案：""好的亲""', '问题：""你你好吧你好你好的你好呢你好你还"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好！"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好吧牛奶hi"", 答案：""亲，您好，有什么可以帮您的吗？""', '问题：""亲这个歌"", 答案：""你好 在的亲""', '问题：""对了"", 答案：""你好 在的亲""', '问题：""怎么打"", 答案：""你好 在的亲""']",亲，您好，有什么可以帮您的吗？,,2024-04-18 11:01:02,"12,18",小白帆布鞋2023年新款,待发货,退款成功
11,11,好的呢再见你好呢再见再见吧好的在吗,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""在哪""},{""role"":""user"",""content"":""好的亲""},{""role"":""user"",""content"":""再见""},{""role"":""assistant"",""content"":""再见亲""},{""role"":""user"",""content"":""有哪些尺码""},{""role"":""assistant"",""content"":""亲 参考下哦""},{""role"":""user"",""content"":""好的呢再见你好呢再见再见吧好的在吗""}]",[],,很高兴为您服务，请问有什么可以帮您？,2024-04-17 16:55:56,"12,18",小白帆布鞋2023年新款,待发货,退款成功
12,12,好的呢再见,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""在哪""},{""role"":""user"",""content"":""好的亲""},{""role"":""user"",""content"":""再见""},{""role"":""assistant"",""content"":""再见亲""},{""role"":""user"",""content"":""有哪些尺码""},{""role"":""assistant"",""content"":""亲 参考下哦""},{""role"":""user"",""content"":""好的呢再见""}]","['问题：""你可以看我拍照评价"", 答案：""好呢亲""', '问题：""402570424@qq.com"", 答案：""好的 亲""', '问题：""下单了"", 答案：""好的亲""', '问题：""别在错了"", 答案：""好的亲""', '问题：""己评价"", 答案：""好的亲""', '问题：""目前还是没有任何联系"", 答案：""好的 亲""', '问题：""咋没有发货啊知道了"", 答案：""好的亲""', '问题：""在吗亲好评返现吗"", 答案：""好的亲""', '问题：""是3罐啊"", 答案：""好的亲""', '问题：""3罐3斤以下单"", 答案：""好的亲""']",再见亲,,2024-04-17 11:50:41,"12,18",小白帆布鞋2023年新款,待发货,退款成功
